EVENT,ev_lat,ev_lon,dep,NET_STA,st_lat,st_lon,Mw_RCMT,RR,vs30,sf,Tmax_s,pga,T0_010,T0_025,T0_040,T0_050,T0_070,T0_100,T0_150,T0_200,T0_250,T0_300,T0_350,T0_400,T0_450,T0_500,T0_600,T0_700,T0_750,T0_800,T0_900,T1_000,T1_200,T1_400,T1_600,T1_800,T2_000,T2_500,T3_000,T3_500,T4_000,T4_500,T5_000,T6_000,T7_000,T8_000,T9_000,T10_000,pgv
EMSC-20030429_0000004,46.384,7.5249,2,CH.MMK,46.0507,7.96409,3.52,50.2087782575,550,TF,3.33333333333333,0.4611635,0.4682155,0.5537875,0.8457395,0.7817225,1.98467,1.684155,1.081115,0.8017725,0.577614,0.388081,0.248352,0.170512,0.1384495,0.1478055,0.092205,0.069827,0.0589465,0.0473925,0.030717,0.02281,0.013784,0.0115125,0.008827,0.0067905,0.00637,0.004582,0.003368,0.0027325,0.002191,0.002021,0.0016415,0.0013,0.001057,0.000912,0.0008075,0.0007075,0.0105057
EMSC-20030429_0000004,46.384,7.5249,2,CH.SENIN,46.36335,7.2993,3.52,17.5088179219,760,TF,5,4.4139555,4.4347,4.754065,5.62282,6.49201,11.12085,14.0702,11.20385,5.48495,3.948905,2.758905,1.92778,1.251615,0.874761,0.761271,0.463465,0.3607085,0.3151275,0.2618565,0.2068195,0.1721455,0.1253995,0.096408,0.0773525,0.06377,0.0538105,0.0390605,0.029482,0.023735,0.0199525,0.0165885,0.014327,0.011308,0.0093645,0.0078485,0.0068415,0.006063,0.0933824
EMSC-20030506_0000024,46.9756,8.8392,2,CH.MMK,46.0507,7.96409,3.67,122.802554608,550,SS,2.85714285714286,0.0997245,0.1001755,0.102523,0.108104,0.1185445,0.148906,0.1971285,0.264912,0.297017,0.22973,0.179623,0.139881,0.1521565,0.121017,0.131155,0.0869535,0.0414925,0.0335195,0.032562,0.0213465,0.016298,0.012294,0.0078475,0.0053475,0.0041475,0.0033345,0.0018835,0.001413,0.0010915,0.0008365,0.000723,0.0005705,0.00045,0.000375,0.000313,0.000267,0.000237,0.003757635
EMSC-20030506_0000024,46.9756,8.8392,2,CH.SENIN,46.36335,7.2993,3.67,136.077950917,760,SS,2.85714285714286,0.0673415,0.0674825,0.068986,0.0740855,0.0748945,0.096868,0.15739,0.2061435,0.2253825,0.176683,0.149157,0.1053165,0.0777905,0.06544,0.066818,0.0429275,0.0230825,0.0240055,0.023229,0.016706,0.0136125,0.0076265,0.004868,0.0053085,0.005067,0.004679,0.0026005,0.0017775,0.001013,0.0008405,0.0006365,0.0004675,0.0003395,0.000279,0.0002335,0.000198,0.0001745,0.002545665
EMSC-20030506_0000024,46.9756,8.8392,2,CH.SKEH,46.9029,8.2715,3.67,43.9748666851,275,SS,2.5,0.457892,0.4607005,0.4958165,0.7334335,1.371075,0.961952,0.7938955,1.167,1.106235,1.27514,0.5606955,0.3401175,0.3050885,0.3336925,0.3071995,0.159223,0.112283,0.0991995,0.0841115,0.0687275,0.050574,0.0336055,0.019685,0.018041,0.0126845,0.010539,0.00625,0.0045995,0.0035015,0.0025005,0.0023215,0.002011,0.001465,0.00125,0.0010575,0.0009255,0.000843,0.0132233
EMSC-20030506_0000024,46.9756,8.8392,2,CH.SLTM,46.9253,9.0003,3.67,13.4786111849,402.6,SS,2.85714285714286,47.9061695,48.4717,55.7359,124.789,162.5555,153.309,86.35085,50.78395,31.90165,30.29765,26.52965,19.3666,17.06975,14.661,11.36545,7.50402,5.006935,3.96935,3.4055,2.456605,1.85153,1.26555,0.953,0.761261,0.620952,0.522674,0.3647875,0.277199,0.2231975,0.183672,0.1618095,0.1379265,0.108723,0.089393,0.0759595,0.0658955,0.058081,0.824128
EMSC-20030506_0000024,46.9756,8.8392,2,RA.OGTB,46.319167,6.595306,3.67,186.62855802,1008.5,SS,5,0.074084,0.0741795,0.0770085,0.075685,0.0779855,0.0815635,0.1299475,0.175129,0.168668,0.199793,0.198518,0.241442,0.1912825,0.130915,0.16745,0.1198625,0.084085,0.0743655,0.0588295,0.0330355,0.022945,0.0181885,0.015244,0.011331,0.008763,0.006766,0.003574,0.002551,0.001916,0.0014385,0.0011765,0.0009285,0.000697,0.0005575,0.0004635,0.000401,0.000355,0.00506666
EMSC-20030506_0000024,46.9756,8.8392,2,RA.STBO,47.8609,7.26216,3.67,154.428119682,332.5,SS,5,0.219278,0.219914,0.2247925,0.2446505,0.2910115,0.383286,0.653138,0.6562595,0.370365,0.3602655,0.429559,0.4052005,0.3195705,0.303243,0.2445025,0.189545,0.1367325,0.1059,0.1060955,0.079364,0.05853,0.0318765,0.021966,0.016028,0.0128765,0.010212,0.005982,0.0052035,0.0032085,0.0026765,0.0024025,0.001858,0.0013865,0.001256,0.001041,0.0008745,0.000774,0.01052375
EMSC-20030506_0000024,46.9756,8.8392,2,RA.STBR,47.7267,7.32445,3.67,141.670227838,490.5,SS,5,0.4011315,0.405062,0.430343,0.5900385,0.6815265,1.047435,1.059045,1.6788,1.35899,0.736253,0.4996625,0.2936415,0.1818995,0.1431465,0.1275705,0.0737755,0.0697205,0.061947,0.0488655,0.037836,0.0275205,0.017862,0.0152995,0.0115095,0.0089895,0.008147,0.004979,0.0036465,0.0029225,0.00238,0.0021225,0.0016855,0.001322,0.0010735,0.000931,0.000824,0.0007335,0.01058655
EMSC-20030506_0000024,46.9756,8.8392,2,RA.STBU,47.8845,6.85102,3.67,180.849425039,434.7,SS,3.33333333333333,0.0964855,0.0970695,0.109146,0.1365985,0.1600545,0.288196,0.2631075,0.226679,0.210435,0.11149,0.090149,0.054615,0.0441215,0.0329955,0.025328,0.0203295,0.013107,0.010507,0.0095775,0.0089155,0.0078375,0.0042015,0.0028265,0.002519,0.002586,0.0020825,0.001378,0.001374,0.0008995,0.000683,0.000685,0.0004795,0.000317,0.0002255,0.000188,0.000161,0.000143,0.00220203
